Time,Motion
0.25363,174.7218
0.26919848,174.95953
0.2833422,174.95953
0.30405375,175.5
0.31948003,175.5
0.33590811,176.75183
0.35044125,176.75183
0.37611836,177.9754
0.39828536,177.9754
0.41608104,178.98358
0.42961037,178.98358
0.44755572,181.09009
0.46664762,181.09009
0.47937906,181.09009
0.49763128,182.03802
0.5119937,182.03802
0.53344685,183.24152
0.5468854,183.24152
0.56567293,185.10864
0.580802,185.10864
0.59596366,185.10864
0.61613196,186.5
0.6306751,186.5
0.64764476,187.99371
0.6639897,187.99371
0.6791424,187.99371
0.69868886,187.48633
0.7134848,187.48633
0.73013705,187.48633
0.7522062,188.396
0.76389575,188.396
0.7822854,190.45789
0.79651666,190.45789
0.8148392,191.06433
0.83055556,191.06433
0.8460447,192.01141
0.863527,192.01141
0.88035697,192.01141
0.8992145,193.41742
0.9122924,193.41742
0.9316901,193.56293
0.9467802,193.56293
0.96473205,194.62823
0.98135066,194.62823
0.9969448,194.62823
1.0156459,195.34613
1.0292443,195.34613
1.0475864,197.03717
1.0642873,197.03717
1.0798254,197.03717
1.0993024,198.18927
1.1133457,198.18927
1.1312541,197.91693
1.1465626,197.91693
1.1627461,197.91693
1.1812491,197.3883
1.1966754,197.3883
1.2159008,198.93231
1.2287824,198.93231
1.2459056,200.03906
1.2648096,200.03906
1.2790935,200.03906
1.3027899,201.73218
1.3140992,201.73218
1.3317744,201.93005
1.3464365,201.93005
1.3640189,201.93005
1.3819654,203.75757
1.3975544,203.75757
1.4156106,204.23773
1.4302168,204.23773
1.4474508,205.6629
1.4634112,205.6629
1.479399,205.6629
1.4979703,207.49823
1.5131605,207.49823
1.5321609,209.27966
1.5468057,209.27966
1.565153,209.67725
1.579875,209.67725
1.5961506,209.67725
1.6138878,209.96332
1.6312078,209.96332
1.6467712,210.42798
1.663841,210.42798
1.6804764,210.42798
1.699739,211.52112
1.7136177,211.52112
1.7326393,212.97058
1.7457461,212.97058
1.7630692,212.97058
1.7816112,214.42792
1.7971311,214.42792
1.8176879,215.88391
1.8285576,215.88391
1.8471882,216.9964
1.8639727,216.9964
1.8791294,216.9964
1.899693,218.18286
1.9132265,218.18286
1.9306633,219.50665
1.9467236,219.50665
1.9629523,219.50665
1.980846,221.38348
1.9965196,221.38348
2.0156176,221.95496
2.0299757,221.95496
2.0463667,222.87231
2.0651276,222.87231
2.0800142,222.87231
2.098252,224.44037
2.1124375,224.44037
2.1310902,225.33948
2.1470613,225.33948
2.162894,225.33948
2.1817546,226.4751
2.1961036,226.4751
2.2131014,228.35925
2.229898,228.35925
2.2464535,228.77777
2.2645922,228.77777
2.2792687,228.77777
2.3002572,229.00476
2.3126137,229.00476
2.3301795,230.12561
2.3462796,230.12561
2.3649778,230.8598
2.381107,230.8598
2.3974512,230.8598
2.4150696,231.65869
2.43173,231.65869
2.448112,232.5874
2.4638746,232.5874
2.4813085,232.5874
2.4983897,232.2768
2.5144496,232.2768
2.5359788,233.2381
2.5479708,233.2381
2.5641487,233.2381
2.5808954,233.77142
2.5961294,233.77142
2.614787,233.6325
2.6299622,233.6325
2.6478977,235.23865
2.6637833,235.23865
2.6789398,235.23865
2.6988516,234.24756
2.7133515,234.24756
2.7310872,234.74536
2.74587,234.74536
2.7651672,235.25964
2.7801173,235.25964
2.7978125,235.25964
2.8141565,235.46405
2.8309157,235.46405
2.8473213,235.56323
2.8643484,235.56323
2.8799515,235.56323
2.898526,234.87805
2.9136527,234.87805
2.9324656,234.95721
2.9464676,234.95721
2.9619777,234.95721
2.9805632,234.44507
2.9959393,234.44507
3.0158234,234.61365
3.030162,234.61365
3.0462232,234.79572
3.0636735,234.79572
3.080142,234.79572
3.0979548,234.61353
3.113438,234.61353
3.1308866,234.02454
3.1472783,234.02454
3.164393,234.4773
3.1814306,234.4773
3.1969402,234.4773
3.2146506,234.27466
3.231251,234.27466
3.248447,234.41302
3.263238,234.41302
3.2803738,234.41302
3.2982593,234.98956
3.3129008,234.98956
3.331668,234.73865
3.3455112,234.73865
3.3640468,234.73865
3.3798382,234.33984
3.3965664,234.33984
3.4132574,233.64075
3.4301853,233.64075
3.4468038,234.05841
3.464334,234.05841
3.4802125,234.05841
3.4982965,233.3617
3.512712,233.3617
3.5306792,233.51941
3.547552,233.51941
3.5628936,233.51941
3.5812302,233.42346
3.596697,233.42346
3.6151412,233.6684
3.6290593,233.6684
3.6473355,232.82062
3.6640673,232.82062
3.6801608,232.82062
3.6979752,232.85388
3.7136836,232.85388
3.730683,233.97894
3.7462437,233.97894
3.762959,233.97894
3.7819047,233.02661
3.7968862,233.02661
3.8170772,232.69604
3.8300407,232.69604
3.8467736,232.86957
3.8631248,232.86957
3.8791728,232.86957
3.8987079,233.93579
3.913546,233.93579
3.9318829,233.01733
3.94663,233.01733
3.9628196,233.01733
3.9813383,233.53638
3.9970617,233.53638
4.015416,233.80426
4.030495,233.80426
4.047256,233.12598
4.064697,233.12598
4.080221,233.12598
4.0993166,233.54974
4.113061,233.54974
4.13465,233.2185
4.146092,233.2185
4.162702,233.2185
4.182593,233.0935
4.1969824,233.0935
4.214847,232.01007
4.2296906,232.01007
4.2464886,232.53589
4.264543,232.53589
4.280453,232.53589
4.3013344,231.76617
4.3147435,231.76617
4.331291,232.4823
4.3471103,232.4823
4.364071,232.4823
4.3803368,232.36652
4.396184,232.36652
4.4141774,232.39252
4.430776,232.39252
4.4477005,233.5437
4.4645596,233.5437
4.479802,233.5437
4.4993896,233.51721
4.514097,233.51721
4.535762,232.99097
4.5488095,232.99097
4.5629253,232.99097
4.5815854,232.43378
4.5980196,232.43378
4.615123,232.29047
4.630891,232.29047
4.647432,232.36932
4.663628,232.36932
4.6805124,232.36932
4.6978817,230.9784
4.7132134,230.9784
4.734171,231.50226
4.746798,231.50226
4.76372,231.50226
4.780896,230.7782
4.7979813,230.7782
4.81455,231.22986
4.8299565,231.22986
4.84625,231.37305
4.8640094,231.37305
4.8800883,231.37305
4.899042,231.34485
4.912788,231.34485
4.934305,231.02942
4.9461813,231.02942
4.964723,231.26154
4.980978,231.26154
4.9975443,231.26154
5.0144396,231.2409
5.030156,231.2409
5.0463705,230.98889
5.064643,230.98889
5.081042,230.98889
5.098696,230.89856
5.1144657,230.89856
5.1316032,230.7143
5.1468525,230.7143
5.16315,230.7143
5.181787,230.40942
5.19609,230.40942
5.2150135,230.34485
5.2296367,230.34485
5.245735,229.6654
5.263694,229.6654
5.2800517,229.6654
5.299076,230.28088
5.3136797,230.28088
5.3313856,229.84149
5.347098,229.84149
5.3634458,229.84149
5.3820543,229.86261
5.3960857,229.86261
5.414761,230.66443
5.430421,230.66443
5.449333,230.66547
5.4629507,230.66547
5.4794393,230.66547
5.497006,230.69366
5.5130877,230.69366
5.5305233,230.95917
5.5467873,230.95917
5.5634866,230.95917
5.5799127,230.96729
5.595869,230.96729
5.6158676,230.9347
5.6299047,230.9347
5.652869,230.86096
5.6688776,230.86096
5.678663,230.86096
5.6991262,230.7887
5.714844,230.7887
5.7306437,230.51166
5.7458544,230.51166
5.7641945,230.53271
5.7801514,230.53271
5.796129,230.53271
5.813391,230.2052
5.8287277,230.2052
5.847593,230.80127
5.8627095,230.80127
5.87976,230.80127
5.8990974,229.97919
5.911998,229.97919
5.931126,230.06873
5.946217,230.06873
5.9628835,230.06873
5.979784,228.02533
5.995194,228.02533
6.014074,227.5744
6.0299196,227.5744
6.0458813,226.27014
6.0639644,226.27014
6.0798626,226.27014
6.097616,225.3916
6.113129,225.3916
6.130358,224.68921
6.1471424,224.68921
6.1625624,224.68921
6.180783,223.18921
6.195984,223.18921
6.2134333,222.51208
6.229971,222.51208
6.247708,221.71326
6.262492,221.71326
6.2789316,221.71326
6.297519,221.04468
6.3130336,221.04468
6.334275,221.55414
6.345692,221.55414
6.3647146,219.81
6.3809185,219.81
6.396395,219.81
6.412444,218.72205
6.429682,218.72205
6.4472737,217.05493
6.4647946,217.05493
6.4792423,217.05493
6.4984426,216.5102
6.512068,216.5102
6.5315266,217.25726
6.545315,217.25726
