Time,Motion
0.12,670.24133
0.16,670.11035
0.2,669.9763
0.24,670.77026
0.28,669.1677
0.32,669.1677
0.36,668.84515
0.4,668.76953
0.44,668.64014
0.48,668.62585
0.52,668.62585
0.56,668.91077
0.6,668.91077
0.64,669.08154
0.68,669.08154
0.72,668.8503
0.76,668.8503
0.8,668.69763
0.84,668.5408
0.88,669.42395
0.92,669.42395
0.96,670.5805
1.0,670.5805
1.04,672.0743
1.08,672.0743
1.12,673.2393
1.16,674.4636
1.2,675.11444
1.24,676.23755
1.271252,676.23755
1.28,677.2096
1.3199999,677.8075
1.3530612,678.84033
1.3634033,678.84033
1.3926632,679.55505
1.4220995,680.6913
1.4329386,680.6913
1.464611,681.47644
1.4787886,681.47644
1.5057235,682.42896
1.5168335,682.42896
1.5427635,683.4678
1.556325,683.4678
1.5826297,684.531
1.5947467,684.531
1.6221895,685.57214
1.6336069,685.57214
1.6621764,686.5116
1.67571,686.5116
1.703291,687.29236
1.7145,687.29236
1.7423859,688.1947
1.7522767,688.1947
1.7829511,688.5945
1.7954043,688.5945
1.8229976,689.4605
1.8374429,689.4605
1.8621036,689.9805
1.8718517,689.9805
1.9018631,690.95746
1.9120011,690.95746
1.9424661,692.0841
1.953669,692.0841
1.9811823,692.4426
1.9918325,692.4426
2.0216713,692.94836
2.0336199,692.94836
2.0633254,693.7202
2.073564,693.7202
2.10205,694.30457
2.1175835,694.30457
2.1421304,695.3209
2.1524749,695.3209
2.1885726,696.5194
2.2009192,696.5194
2.2254963,697.6012
2.2358825,697.6012
2.2642183,697.82324
2.2750857,697.82324
2.301486,698.6539
2.3152544,698.6539
2.3425195,699.0176
2.3527513,699.0176
2.3826516,700.0144
2.3928049,700.0144
2.4214778,700.57874
2.4321332,700.57874
2.4623363,701.88995
2.4724832,701.88995
2.5026813,702.41833
2.513174,702.41833
2.542379,703.42566
2.5525832,703.42566
2.5861912,704.07275
2.596763,704.07275
2.6232777,705.14215
2.6376956,705.14215
2.663275,706.63525
2.673894,706.63525
2.7054286,706.4984
2.7159429,706.4984
2.7421165,706.14703
2.7542305,706.14703
2.7819467,706.27527
2.7945337,706.27527
2.8256063,706.42194
2.8399298,706.42194
2.8636293,706.83057
2.8772461,706.83057
2.9066982,706.9341
2.9223878,706.9341
2.9529822,706.9498
2.982223,706.7676
2.995441,706.7676
3.0242507,706.2172
3.0385926,706.2172
3.0654986,705.96027
3.0790453,705.96027
3.101679,705.5785
3.1124213,705.5785
3.1451435,705.76886
3.1552253,705.76886
3.1820552,705.63354
3.1938279,705.63354
3.2252045,706.0912
3.2354429,706.0912
3.2643485,705.7658
3.2746563,705.7658
3.3034415,705.28296
3.3165395,705.28296
3.3464587,705.49097
3.3565469,705.49097
3.3821726,704.791
3.393256,704.791
3.4232485,704.98364
3.4339802,704.98364
3.463294,704.745
3.474188,704.745
3.5016654,704.52185
3.5125005,704.52185
3.5431917,704.41064
3.5539176,704.41064
3.5818782,704.49084
3.5936067,704.49084
3.6221733,704.343
3.6331074,704.343
3.6645637,704.0716
3.676735,704.0716
3.701566,704.1827
3.7122386,704.1827
3.743128,704.2019
3.7565184,704.2019
3.7831075,703.7707
3.7956655,703.7707
3.8216777,703.3519
3.8321035,703.3519
3.8620348,703.28625
3.8719144,703.28625
3.9020972,703.22766
3.9130435,703.22766
3.9485254,702.8358
3.958928,702.8358
3.9824998,702.61707
3.9926302,702.61707
4.022439,702.4857
4.03285,702.4857
4.062372,702.4081
4.0759845,702.4081
4.101132,702.29944
4.1129875,702.29944
4.1439114,702.3066
4.153774,702.3066
4.181774,701.91327
4.1917233,701.91327
4.2232103,702.3845
4.2376547,702.3845
4.2623353,702.45276
4.2719727,702.45276
4.3041186,701.86426
4.3142257,701.86426
4.3437977,701.54724
4.3536015,701.54724
4.381713,702.0642
4.391952,702.0642
4.4230375,701.9978
4.432883,701.9978
4.4698915,702.1001
4.480954,702.1001
4.5112987,701.51654
4.541518,701.97266
4.5553675,701.97266
4.582767,702.1144
4.5928154,702.1144
4.6212926,702.33923
4.632387,702.33923
4.665303,701.9966
4.675983,701.9966
4.7014356,702.2134
4.7115717,702.2134
4.7425714,702.2909
4.7523017,702.2909
4.781973,702.2065
4.7925453,702.2065
4.8227134,701.5093
4.83355,701.5093
4.8621006,701.76953
4.872115,701.76953
4.902835,701.6926
4.9137144,701.6926
4.9442163,701.6282
4.954289,701.6282
4.9817233,701.45416
4.9915924,701.45416
5.0221586,701.6455
5.0321894,701.6455
5.063113,701.289
5.0731955,701.289
5.102449,701.4319
5.112542,701.4319
5.1437135,701.4829
5.1533675,701.4829
5.1814103,701.3679
5.1912537,701.3679
5.223969,701.48376
5.2383056,701.48376
5.2628393,701.4927
5.276106,701.4927
5.30354,701.43225
5.3186264,701.43225
5.3420815,701.5274
5.351728,701.5274
5.381546,701.4053
5.392856,701.4053
5.422019,701.18207
5.4354053,701.18207
5.461588,701.29364
5.471897,701.29364
5.5025177,701.44965
5.513197,701.44965
5.5423794,701.6201
5.5524497,701.6201
5.582013,701.81506
5.592057,701.81506
5.62162,701.6279
5.6318264,701.6279
5.6614857,701.61743
5.671353,701.61743
5.7020464,702.24927
5.7118735,702.24927
5.743037,702.14825
5.7525616,702.14825
5.7827697,702.63696
5.794813,702.63696
5.8228154,702.573
5.8347006,702.573
5.862859,701.9823
5.8730297,701.9823
5.9028387,702.0185
5.913587,702.0185
5.9461975,701.5993
5.9608994,701.5993
5.9898267,701.71204
6.0220895,700.5779
6.032728,700.5779
6.064914,700.5824
6.0749745,700.5824
6.1030064,700.75287
6.113156,700.75287
6.1446657,700.78754
6.1589937,700.78754
6.1826124,700.21594
6.192211,700.21594
6.223409,700.5537
6.2330985,700.5537
6.2622604,700.6025
6.2746444,700.6025
6.32,701.06665
6.3399796,701.06665
6.36,700.30426
6.391943,700.4758
6.4215136,700.50714
6.4313307,700.50714
6.4626956,700.7953
6.472576,700.7953
6.5127954,700.96765
6.5223937,700.96765
6.551298,701.5368
6.581642,701.4351
6.592621,701.4351
6.622664,701.4537
6.6332054,701.4537
6.6662626,700.6719
6.6772237,700.6719
6.7016754,700.43005
6.7115507,700.43005
6.7429075,698.98926
6.752447,698.98926
6.7872868,698.46234
6.7975397,698.46234
6.8239574,697.3435
6.834098,697.3435
6.8631167,696.7473
6.873026,696.7473
6.901406,696.00977
6.9122252,696.00977
6.9430394,695.1211
6.956138,695.1211
6.9828196,694.88495
6.9940643,694.88495
7.022618,694.38336
7.033222,694.38336
7.062807,693.8917
7.076236,693.8917
7.087483,693.8917
7.106255,693.8917
7.12,693.0426
7.143403,693.0426
7.16,692.4874
7.196415,691.3739
7.206188,691.3739
7.2389746,690.5336
7.263143,689.76263
7.272923,689.76263
7.302342,688.8629
7.312648,688.8629
7.343035,688.4908
7.356523,688.4908
7.3810444,687.40985
7.39114,687.40985
7.4215875,687.00903
7.4350624,687.00903
7.462858,685.89905
7.4773254,685.89905
7.501764,684.6277
7.514414,684.6277
7.541624,684.2323
7.555732,684.2323
7.582829,683.58093
7.5955777,683.58093
7.621982,682.65625
7.63249,682.65625
7.6624804,681.0414
7.6723228,681.0414
7.70196,681.27484
7.712695,681.27484
7.7427597,680.09906
7.7533407,680.09906
7.7818356,679.5338
7.7921677,679.5338
7.8225617,678.90295
7.832797,678.90295
7.862878,678.9674
7.8725567,678.9674
7.9014454,679.0626
7.9132524,679.0626
7.9416356,676.7698
7.9523783,676.7698
7.9827466,676.2947
7.992968,676.2947
8.022032,675.5375
8.032258,675.5375
8.062246,675.42725
8.076203,675.42725
8.102813,674.9845
8.115143,674.9845
8.1451845,674.6192
8.155192,674.6192
8.181283,673.7989
8.195461,673.7989
8.222757,673.122
8.233487,673.122
8.266822,673.1862
8.2768135,673.1862
8.301119,672.72534
8.312309,672.72534
8.342908,673.02295
8.352653,673.02295
8.381677,672.6448
8.391647,672.6448
8.422781,673.4009
8.432313,673.4009
8.462067,672.9137
8.472451,672.9137
8.502226,672.5051
8.512346,672.5051
8.542261,672.59314
8.55193,672.59314
8.582327,672.49817
8.592366,672.49817
8.622081,672.47644
8.632397,672.47644
8.662107,672.0199
8.671952,672.0199
8.705453,671.9093
8.715795,671.9093
8.741544,670.7641
8.755516,670.7641
8.781792,670.515
8.791609,670.515
8.821971,670.0432
8.832759,670.0432
8.861363,670.8469
8.871216,670.8469
8.901728,670.5084
8.913475,670.5084
8.942043,669.90533
8.953071,669.90533
8.981943,669.8737
8.99183,669.8737
9.029956,669.3812
9.039782,669.3812
9.062942,668.38684
9.073066,668.38684
9.101014,668.3782
9.111663,668.3782
9.143841,668.4635
9.153975,668.4635
9.181458,668.38574
9.191129,668.38574
9.221881,668.2511
9.231556,668.2511
9.264729,668.17413
9.27514,668.17413
9.301224,667.996
9.312742,667.996
9.3419075,668.0132
9.3516655,668.0132
9.381833,666.97375
9.393191,666.97375
9.421579,666.8776
9.4342165,666.8776
9.463357,666.5742
9.473247,666.5742
9.501184,666.5651
9.511913,666.5651
9.541264,666.83856
9.555375,666.83856
9.58178,666.5842
9.592357,666.5842
9.621743,666.1901
9.631902,666.1901
9.662103,666.3849
9.671723,666.3849
9.701975,667.09845
9.711839,667.09845
9.742426,666.89795
9.755925,666.89795
9.782082,666.41266
9.791952,666.41266
9.822895,666.2174
9.833706,666.2174
9.8629465,666.82336
9.876307,666.82336
9.902025,666.8976
9.911788,666.8976
9.94167,666.92926
9.952218,666.92926
9.982191,666.7213
9.992468,666.7213
10.02249,666.737
10.032511,666.737
10.062406,666.779
10.071912,666.779
10.103379,667.3488
10.114921,667.3488
10.143585,667.2904
10.153166,667.2904
10.182082,666.722
10.191654,666.722
10.237118,666.5924
10.248251,666.5924
10.280482,666.3026
10.311254,666.26794
10.342757,665.26685
10.352455,665.26685
10.382157,665.4586
10.393576,665.4586
10.421843,665.76086
10.432045,665.76086
10.463645,665.73193
10.474085,665.73193
10.504599,665.58435
10.515426,665.58435
10.543592,665.5457
10.553983,665.5457
10.586242,664.8642
10.599688,664.8642
10.622494,664.86975
10.633478,664.86975
10.662091,664.8563
10.672956,664.8563
10.702348,664.85693
10.712974,664.85693
10.743059,664.8617
10.756233,664.8617
10.782819,664.99524
10.792583,664.99524
10.8253975,665.47107
10.835597,665.47107
10.862616,665.92896
10.871988,665.92896
10.9026,666.2716
10.913187,666.2716
10.942347,666.08923
10.952478,666.08923
10.982624,665.76184
10.992258,665.76184
11.0226555,665.89
11.033475,665.89
11.063979,665.75195
11.074181,665.75195
11.101752,665.9719
11.114684,665.9719
11.142854,666.08264
11.15264,666.08264
