FSR,IR
337.00,125.00
336.00,126.00
330.00,189.00
335.00,125.00
336.00,126.00
334.00,172.00
335.00,125.00
335.00,126.00
335.00,112.00
335.00,126.00
335.00,126.00
330.00,125.00
330.00,125.00
324.00,126.00
321.00,125.00
321.00,126.00
316.00,136.00
322.00,125.00
319.00,125.00
318.00,125.00
318.00,125.00
320.00,126.00
320.00,106.00
317.00,125.00
318.00,127.00
315.00,125.00
315.00,125.00
319.00,127.00
313.00,125.00
313.00,125.00
305.00,131.00
303.00,126.00
297.00,126.00
276.00,175.00
278.00,125.00
266.00,125.00
257.00,172.00
254.00,125.00
252.00,126.00
242.00,112.00
240.00,121.00
239.00,126.00
233.00,121.00
229.00,126.00
223.00,124.00
220.00,121.00
217.00,125.00
212.00,126.00
212.00,125.00
210.00,121.00
208.00,168.00
205.00,121.00
205.00,122.00
197.00,102.00
183.00,121.00
160.00,126.00
148.00,122.00
140.00,121.00
154.00,122.00
135.00,121.00
135.00,121.00
130.00,121.00
127.00,121.00
126.00,121.00
108.00,175.00
124.00,121.00
114.00,122.00
99.00,121.00
91.00,121.00
95.00,123.00
88.00,121.00
85.00,121.00
64.00,164.00
66.00,122.00
79.00,123.00
68.00,121.00
65.00,122.00
58.00,102.00
47.00,121.00
47.00,122.00
46.00,122.00
48.00,122.00
46.00,104.00
48.00,121.00
63.00,123.00
47.00,122.00
46.00,122.00
48.00,104.00
45.00,121.00
63.00,123.00
46.00,121.00
46.00,122.00
44.00,104.00
47.00,122.00
47.00,123.00
49.00,121.00
47.00,122.00
45.00,121.00
48.00,122.00
49.00,127.00
47.00,121.00
48.00,121.00
57.00,104.00
63.00,122.00
65.00,127.00
62.00,121.00
62.00,121.00
50.00,104.00
48.00,121.00
48.00,122.00
48.00,122.00
50.00,122.00
47.00,112.00
48.00,121.00
48.00,124.00
45.00,122.00
46.00,121.00
45.00,120.00
46.00,122.00
40.00,127.00
45.00,121.00
46.00,122.00
42.00,122.00
46.00,122.00
42.00,125.00
45.00,121.00
48.00,121.00
48.00,121.00
47.00,121.00
44.00,125.00
43.00,121.00
50.00,122.00
46.00,112.00
47.00,121.00
45.00,121.00
48.00,121.00
49.00,121.00
45.00,120.00
45.00,121.00
44.00,125.00
43.00,121.00
45.00,122.00
39.00,121.00
42.00,121.00
40.00,127.00
38.00,121.00
41.00,122.00
41.00,121.00
42.00,121.00
36.00,187.00
40.00,122.00
44.00,121.00
42.00,122.00
46.00,121.00
24.00,185.00
56.00,121.00
75.00,122.00
117.00,121.00
139.00,122.00
159.00,125.00
182.00,121.00
194.00,121.00
202.00,188.00
222.00,121.00
235.00,121.00
244.00,168.00
252.00,121.00
262.00,122.00
267.00,102.00
274.00,121.00
284.00,122.00
287.00,122.00
293.00,121.00
302.00,122.00
303.00,121.00
306.00,121.00
311.00,126.00
313.00,121.00
319.00,125.00
314.00,189.00
325.00,125.00
330.00,126.00
331.00,125.00
333.00,125.00
334.00,126.00
337.00,108.00
338.00,125.00
342.00,126.00
343.00,125.00
350.00,125.00
351.00,127.00
357.00,125.00
358.00,125.00
353.00,127.00
359.00,126.00
365.00,125.00
361.00,173.00
367.00,125.00
370.00,125.00
371.00,169.00
370.00,126.00
373.00,127.00
367.00,124.00
367.00,125.00
368.00,127.00
366.00,125.00
368.00,126.00
362.00,129.00
